% 2013-11-12 21:26:09.004000
% {
%   "maps": [
%     "normalize_date",
%     "day_and_time",
%     "calculate_traffic"
%   ],
%   "filters": [
%     "has_weather"
%   ],
%   "attributes": [
%     [
%       "hour",
%       "hour",
%       "NOMINAL"
%     ],
%     [
%       "day",
%       "day",
%       "NOMINAL"
%     ],
%     [
%       "weather",
%       "weather.current_observation.weather",
%       "NOMINAL"
%     ],
%     [
%       "weekend",
%       "weekend",
%       "NOMINAL"
%     ],
%     [
%       "traffic_level",
%       "traffic_level",
%       "NUMERIC"
%     ]
%   ]
% }

@RELATION 'TrafficData'

@ATTRIBUTE 'hour' {'0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23'}
@ATTRIBUTE 'day' {'0', '1', '2', '3', '4', '5', '6'}
@ATTRIBUTE 'weather' {'Mostly-Cloudy', 'Shallow-Fog', 'Clear', 'Overcast', 'Rain', 'Scattered-Clouds', 'Haze', 'Fog', 'Partly-Cloudy'}
@ATTRIBUTE 'weekend' {'False', 'True'}
@ATTRIBUTE 'traffic_level' 'NUMERIC'

@DATA
14,1,Partly-Cloudy,False,0.128354725788
15,1,Clear,False,0.425742574257
15,1,Scattered-Clouds,False,0.109473684211
16,1,Clear,False,0.110098176718
16,1,Clear,False,0.713216957606
16,1,Clear,False,0.0939323220537
16,1,Partly-Cloudy,False,0.499051233397
16,1,Clear,False,0.103494623656
17,1,Partly-Cloudy,False,2.28178438662
18,1,Clear,False,0.389266817838
18,1,Clear,False,0.735228539576
18,1,Clear,False,0.802742616034
18,1,Partly-Cloudy,False,1.67279843444
18,1,Clear,False,0.246904588492
19,1,Clear,False,2.35618878005
19,1,Clear,False,0.111111111111
19,1,Clear,False,0.123380629241
20,1,Clear,False,0.487088156723
20,1,Clear,False,0.122766122766
13,6,Clear,True,0.163141993958
13,2,Scattered-Clouds,False,0.0456026058632
16,3,Scattered-Clouds,False,0.835540838852
13,5,Partly-Cloudy,True,0.241738066095
13,5,Partly-Cloudy,True,0.23569023569
6,1,Mostly-Cloudy,False,0.105318588731
16,0,Partly-Cloudy,False,0.631111111111
18,0,Clear,False,0.317488789238
18,0,Clear,False,0.802412406663
20,0,Clear,False,0.111443530292
20,0,Clear,False,0.199672667758
22,0,Clear,False,0.137386018237
23,0,Overcast,False,0.164980544747
0,1,Overcast,False,0.11906614786
0,1,Partly-Cloudy,False,0.0753333333333
3,1,Mostly-Cloudy,False,0.174089068826
4,1,Overcast,False,0.0131909547739
4,1,Overcast,False,0.057354925776
7,1,Overcast,False,0.956383462063
8,1,Fog,False,0.178453403833
9,1,Overcast,False,0.324561403509
15,1,Clear,False,0.16955017301
16,1,Partly-Cloudy,False,0.291316526611
16,1,Partly-Cloudy,False,0.15636983383
17,1,Clear,False,0.79783197832
17,1,Partly-Cloudy,False,1.29770417764
17,1,Partly-Cloudy,False,0.741277156024
17,1,Clear,False,0.921191734743
18,1,Clear,False,0.422043010753
18,1,Clear,False,0.973983739837
18,1,Partly-Cloudy,False,0.269114688129
18,1,Clear,False,0.643683945647
20,1,Clear,False,0.385598636557
20,1,Clear,False,0.142950391645
20,1,Clear,False,0.247641509434
20,1,Clear,False,0.155143338954
21,1,Partly-Cloudy,False,0.23904688701
21,1,Clear,False,0.105231866825
22,1,Partly-Cloudy,False,0.298232129131
0,2,Clear,False,0.118098895823
1,2,Clear,False,0.0705712914066
2,2,Clear,False,0.173787806049
3,2,Clear,False,0.130580892943
6,2,Fog,False,0.171579743008
6,2,Clear,False,0.604864864865
7,2,Fog,False,0.141514973576
7,2,Clear,False,0.079105760963
7,2,Fog,False,0.0657708628006
8,2,Clear,False,0.944850872257
8,2,Rain,False,0.320083682008
8,2,Fog,False,0.328859060403
8,2,Overcast,False,0.37296037296
8,2,Fog,False,1.06190885641
8,2,Fog,False,0.517127071823
8,2,Overcast,False,0.480575539568
8,2,Fog,False,1.3090523338
8,2,Fog,False,0.275522755228
9,2,Overcast,False,0.335892514395
9,2,Overcast,False,0.312348668281
9,2,Fog,False,0.224755700326
10,2,Fog,False,0.413658536585
10,2,Fog,False,0.708781362007
10,2,Fog,False,0.380087664371
11,2,Overcast,False,0.107317073171
11,2,Overcast,False,0.264580369844
11,2,Overcast,False,0.25172197871
12,2,Overcast,False,0.125725338491
12,2,Overcast,False,0.113747383112
13,2,Haze,False,0.131542219121
13,2,Overcast,False,0.167311411992
14,2,Haze,False,0.330158730159
15,2,Haze,False,0.580062305296
15,2,Haze,False,0.143366619116
16,2,Clear,False,0.210182767624
16,2,Clear,False,0.277777777778
16,2,Haze,False,0.615384615385
17,2,Clear,False,0.297777777778
17,2,Clear,False,0.531400966184
17,2,Clear,False,0.479591836735
18,2,Partly-Cloudy,False,0.447143795141
18,2,Clear,False,0.0312796208531
18,2,Partly-Cloudy,False,0.417379855168
20,2,Clear,False,0.313765182186
20,2,Partly-Cloudy,False,0.8096069869
21,2,Scattered-Clouds,False,0.284348103283
21,2,Clear,False,0.109625668449
22,2,Overcast,False,0.0889021479714
22,2,Scattered-Clouds,False,0.130379343322
3,3,Overcast,False,0.247933884298
4,3,Overcast,False,0.0631641086187
6,3,Overcast,False,0.69595959596
7,3,Overcast,False,0.0950764006791
7,3,Overcast,False,0.240740740741
7,3,Overcast,False,0.0974643423138
7,3,Overcast,False,0.208244491827
7,3,Overcast,False,0.300638686131
7,3,Overcast,False,0.309205903022
8,3,Overcast,False,0.532972440945
8,3,Overcast,False,2.11037527594
8,3,Overcast,False,0.459146341463
8,3,Haze,False,0.271855611957
8,3,Overcast,False,0.0
8,3,Overcast,False,0.270797962649
8,3,Overcast,False,0.44983277592
8,3,Overcast,False,0.76398467433
8,3,Overcast,False,0.650554675119
8,3,Overcast,False,0.438587243015
9,3,Overcast,False,0.53829634932
9,3,Overcast,False,0.289644012945
9,3,Overcast,False,0.0520833333333
9,3,Overcast,False,0.464698331194
9,3,Overcast,False,0.510427010924
9,3,Overcast,False,0.72131147541
9,3,Overcast,False,0.544349939247
10,3,Overcast,False,0.0813615608136
10,3,Overcast,False,0.284765462848
10,3,Overcast,False,0.210931485758
10,3,Overcast,False,0.722054380665
11,3,Overcast,False,0.122448979592
11,3,Overcast,False,0.0589622641509
11,3,Overcast,False,0.23989769821
12,3,Overcast,False,0.0952195880295
12,3,Overcast,False,0.383347788378
13,3,Overcast,False,0.401194624191
16,3,Clear,False,0.291993720565
17,3,Scattered-Clouds,False,1.52709359606
17,3,Scattered-Clouds,False,1.48133848134
17,3,Clear,False,0.042654028436
17,3,Partly-Cloudy,False,0.912291537986
18,3,Clear,False,1.90240452617
18,3,Clear,False,1.4324742268
18,3,Scattered-Clouds,False,0.703533026114
18,3,Scattered-Clouds,False,1.34253028264
19,3,Clear,False,1.15636363636
19,3,Scattered-Clouds,False,1.17227456258
19,3,Scattered-Clouds,False,0.723502304147
19,3,Clear,False,0.780927835052
20,3,Partly-Cloudy,False,0.234843205575
23,3,Clear,False,0.129943502825
1,4,Partly-Cloudy,False,0.107229500243
6,4,Overcast,False,0.172537742631
7,4,Overcast,False,0.129719626168
7,4,Overcast,False,0.206326383896
7,4,Mostly-Cloudy,False,0.23842364532
8,4,Overcast,False,0.296296296296
9,4,Overcast,False,0.307362401716
9,4,Scattered-Clouds,False,0.860557768924
9,4,Scattered-Clouds,False,0.274587833997
9,4,Scattered-Clouds,False,0.203791469194
9,4,Scattered-Clouds,False,0.234657039711
10,4,Haze,False,0.124488124488
11,4,Scattered-Clouds,False,0.911094783248
13,4,Scattered-Clouds,False,0.174706649283
14,4,Clear,False,0.380575239683
14,4,Clear,False,0.051227321238
15,4,Scattered-Clouds,False,0.396635514019
15,4,Clear,False,1.05168820342
15,4,Scattered-Clouds,False,0.5
15,4,Scattered-Clouds,False,0.367795059469
16,4,Mostly-Cloudy,False,0.473081328751
16,4,Mostly-Cloudy,False,0.899688689035
16,4,Scattered-Clouds,False,0.165644171779
16,4,Scattered-Clouds,False,0.615617892343
16,4,Clear,False,1.07202505219
16,4,Mostly-Cloudy,False,0.246606334842
17,4,Mostly-Cloudy,False,1.05756013746
17,4,Scattered-Clouds,False,0.659590598939
17,4,Mostly-Cloudy,False,0.787962642684
17,4,Clear,False,0.49387755102
17,4,Scattered-Clouds,False,0.156441717791
18,4,Scattered-Clouds,False,0.391688311688
18,4,Mostly-Cloudy,False,1.25858585859
19,4,Scattered-Clouds,False,0.650684931507
19,4,Scattered-Clouds,False,0.21801432958
19,4,Scattered-Clouds,False,0.738731218698
19,4,Scattered-Clouds,False,0.411710887466
20,4,Clear,False,0.203681942812
20,4,Scattered-Clouds,False,0.947328244275
20,4,Clear,False,0.0656312625251
20,4,Scattered-Clouds,False,0.310629514964
21,4,Partly-Cloudy,False,0.522748815166
21,4,Clear,False,0.12625250501
22,4,Partly-Cloudy,False,0.0924630924631
22,4,Partly-Cloudy,False,0.070938215103
0,5,Shallow-Fog,True,0.107099143207
0,5,Clear,True,0.3165002936
0,5,Clear,True,0.227744807122
1,5,Clear,True,0.379080118694
1,5,Shallow-Fog,True,0.260097919217
1,5,Clear,True,0.304169113329
2,5,Clear,True,0.269524368761
2,5,Shallow-Fog,True,0.250917992656
2,5,Clear,True,0.237388724036
3,5,Clear,True,0.270111567821
3,5,Shallow-Fog,True,0.0238678090575
3,5,Clear,True,0.209940652819
4,5,Shallow-Fog,True,0.247858017136
4,5,Partly-Cloudy,True,0.263652378156
4,5,Partly-Cloudy,True,0.256676557864
5,5,Partly-Cloudy,True,0.252225519288
